ArchiveDate,Hospital_Name,Case_Type,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
25/01/2024,Bantry General Hospital,Day Case,Adult,96,37,8,24,165
25/01/2024,Beaumont Hospital,Day Case,Adult,"3,341",986,292,165,"4,784"
25/01/2024,Cavan General Hospital,Day Case,Adult,526,7,0,5,538
25/01/2024,Connolly Hospital Blanchardstown,Day Case,Adult,766,61,0,0,827
25/01/2024,Coombe Women and Infants University Hospital,Day Case,Adult,91,47,10,2,150
25/01/2024,Cork University Hospital,Day Case,Adult,518,162,83,104,867
25/01/2024,Cork University Maternity Hospital,Day Case,Adult,365,102,28,11,506
25/01/2024,Croom Orthopaedic Hospital,Day Case,Adult,207,2,0,0,209
25/01/2024,Ennis Hospital,Day Case,Adult,420,22,0,0,442
25/01/2024,Galway University Hospitals,Day Case,Adult,"4,194","1,549",514,731,"6,988"
25/01/2024,Kilcreene Regional Orthopaedic Hospital,Day Case,Adult,230,50,7,2,289
25/01/2024,Letterkenny University Hospital,Day Case,Adult,910,116,54,64,"1,144"
25/01/2024,Louth County Hospital,Day Case,Adult,405,25,0,0,430
25/01/2024,Mallow General Hospital,Day Case,Adult,237,76,19,0,332
25/01/2024,Mater Misericordiae University Hospital,Day Case,Adult,"2,453",600,299,471,"3,823"
25/01/2024,Mayo University Hospital,Day Case,Adult,466,73,2,2,543
25/01/2024,Mercy University Hospital,Day Case,Adult,458,184,53,2,697
25/01/2024,Midland Regional Hospital Mullingar,Day Case,Adult,757,284,9,0,"1,050"
25/01/2024,Midland Regional Hospital Portlaoise,Day Case,Adult,295,47,7,14,363
25/01/2024,Midland Regional Hospital Tullamore,Day Case,Adult,585,64,5,0,654
25/01/2024,Naas General Hospital,Day Case,Adult,197,17,0,0,214
25/01/2024,National Orthopaedic Hospital Cappagh,Day Case,Adult,444,58,2,2,506
25/01/2024,Nenagh Hospital,Day Case,Adult,752,46,0,0,798
25/01/2024,Our Lady of Lourdes Hospital Drogheda,Day Case,Adult,513,40,0,0,553
25/01/2024,Our Lady's Hospital Navan,Day Case,Adult,571,64,7,2,644
25/01/2024,Portiuncula University Hospital,Day Case,Adult,401,121,14,0,536
25/01/2024,Roscommon University Hospital,Day Case,Adult,545,210,43,43,841
25/01/2024,Royal Victoria Eye and Ear Hospital,Day Case,Adult,"1,865",550,137,59,"2,611"
25/01/2024,Sligo University Hospital,Day Case,Adult,"1,240",341,99,57,"1,737"
25/01/2024,South Infirmary Victoria University Hospital,Day Case,Adult,"2,444",732,199,253,"3,628"
25/01/2024,St. Columcille's Hospital,Day Case,Adult,322,83,69,21,495
25/01/2024,St. James's Hospital,Day Case,Adult,"2,774","1,296",674,446,"5,190"
25/01/2024,St. John's Hospital Limerick,Day Case,Adult,281,74,0,0,355
25/01/2024,St. Luke's General Hospital Kilkenny,Day Case,Adult,587,209,83,54,933
25/01/2024,St. Michael's Hospital,Day Case,Adult,353,72,11,2,438
25/01/2024,St. Vincent's University Hospital,Day Case,Adult,"1,854",485,215,177,"2,731"
25/01/2024,Tallaght University Hospital,Day Case,Adult,"1,888",147,15,11,"2,061"
25/01/2024,Tipperary University Hospital,Day Case,Adult,326,43,0,0,369
25/01/2024,University Hospital Kerry,Day Case,Adult,147,0,0,0,147
25/01/2024,University Hospital Limerick,Day Case,Adult,"1,400",665,78,2,"2,145"
25/01/2024,University Hospital Waterford,Day Case,Adult,"2,837",910,514,704,"4,965"
25/01/2024,Wexford General Hospital,Day Case,Adult,471,126,53,43,693
25/01/2024,Beaumont Hospital,Inpatient,Adult,"1,431",667,177,141,"2,416"
25/01/2024,Cavan General Hospital,Inpatient,Adult,20,0,0,0,20
25/01/2024,Connolly Hospital Blanchardstown,Inpatient,Adult,220,7,0,0,227
25/01/2024,Coombe Women and Infants University Hospital,Inpatient,Adult,24,13,7,2,48
25/01/2024,Cork University Hospital,Inpatient,Adult,276,85,57,104,522
25/01/2024,Cork University Maternity Hospital,Inpatient,Adult,145,43,22,5,215
25/01/2024,Croom Orthopaedic Hospital,Inpatient,Adult,144,0,0,0,144
25/01/2024,Galway University Hospitals,Inpatient,Adult,"1,120",527,255,743,"2,645"
25/01/2024,Kilcreene Regional Orthopaedic Hospital,Inpatient,Adult,357,82,22,8,469
25/01/2024,Letterkenny University Hospital,Inpatient,Adult,142,70,40,97,349
25/01/2024,Mater Misericordiae University Hospital,Inpatient,Adult,998,335,146,364,"1,843"
25/01/2024,Mayo University Hospital,Inpatient,Adult,135,64,5,10,214
25/01/2024,Mercy University Hospital,Inpatient,Adult,138,22,7,11,179
25/01/2024,Midland Regional Hospital Tullamore,Inpatient,Adult,441,137,5,0,583
25/01/2024,National Orthopaedic Hospital Cappagh,Inpatient,Adult,"1,045",343,37,6,"1,431"
25/01/2024,Our Lady of Lourdes Hospital Drogheda,Inpatient,Adult,228,48,0,0,276
25/01/2024,Our Lady's Hospital Navan,Inpatient,Adult,124,10,2,2,140
25/01/2024,Portiuncula University Hospital,Inpatient,Adult,16,5,2,0,23
25/01/2024,Royal Victoria Eye and Ear Hospital,Inpatient,Adult,267,129,52,41,489
25/01/2024,Sligo University Hospital,Inpatient,Adult,344,106,33,45,528
25/01/2024,Small Volume Hospitals,Inpatient,Adult,36,17,13,7,74
25/01/2024,South Infirmary Victoria University Hospital,Inpatient,Adult,215,58,24,40,337
25/01/2024,St. James's Hospital,Inpatient,Adult,832,360,224,395,"1,811"
25/01/2024,St. John's Hospital Limerick,Inpatient,Adult,344,78,0,0,422
25/01/2024,St. Michael's Hospital,Inpatient,Adult,251,98,78,13,440
25/01/2024,St. Vincent's University Hospital,Inpatient,Adult,725,141,68,152,"1,086"
25/01/2024,Tallaght University Hospital,Inpatient,Adult,672,247,101,87,"1,107"
25/01/2024,Tipperary University Hospital,Inpatient,Adult,50,2,0,0,53
25/01/2024,University Hospital Kerry,Inpatient,Adult,101,2,0,0,104
25/01/2024,University Hospital Limerick,Inpatient,Adult,316,172,2,6,496
25/01/2024,University Hospital Waterford,Inpatient,Adult,152,58,26,53,289
25/01/2024,Cavan General Hospital,Day Case,Child,21,2,0,2,25
25/01/2024,Children's Health Ireland,Day Case,Child,"1,921","1,172",541,394,"4,028"
25/01/2024,Cork University Hospital,Day Case,Child,107,67,37,13,224
25/01/2024,Galway University Hospitals,Day Case,Child,230,79,39,59,407
25/01/2024,Letterkenny University Hospital,Day Case,Child,32,4,0,6,42
