ArchiveDate,HospitalName,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/04/2021,Bantry General Hospital,Adult,214,109,57,2,382
29/04/2021,Beaumont Hospital,Adult,957,3,0,0,961
29/04/2021,Cavan General Hospital,Adult,637,2,0,0,638
29/04/2021,Connolly Hospital Blanchardstown,Adult,853,3,0,0,856
29/04/2021,Cork University Hospital,Adult,467,124,20,3,614
29/04/2021,Ennis Hospital,Adult,520,334,153,73,"1,080"
29/04/2021,Galway University Hospitals,Adult,850,329,145,56,"1,381"
29/04/2021,Letterkenny University Hospital,Adult,"1,059",467,540,561,"2,627"
29/04/2021,Louth County Hospital,Adult,826,2,0,0,828
29/04/2021,Mallow General Hospital,Adult,171,17,0,0,188
29/04/2021,Mater Misericordiae University Hospital,Adult,"1,205",687,681,9,"2,583"
29/04/2021,Mayo University Hospital,Adult,328,186,230,213,957
29/04/2021,Mercy University Hospital,Adult,254,64,123,64,506
29/04/2021,Midland Regional Hospital Mullingar,Adult,464,47,3,0,514
29/04/2021,Midland Regional Hospital Portlaoise,Adult,288,116,52,77,533
29/04/2021,Midland Regional Hospital Tullamore,Adult,309,75,13,0,397
29/04/2021,Naas General Hospital,Adult,584,354,303,79,"1,320"
29/04/2021,Nenagh Hospital,Adult,400,322,195,78,995
29/04/2021,Our Lady of Lourdes Hospital Drogheda,Adult,355,0,0,0,355
29/04/2021,Our Lady's Hospital Navan,Adult,786,509,266,9,"1,570"
29/04/2021,Portiuncula University Hospital,Adult,266,129,68,17,480
29/04/2021,Roscommon University Hospital,Adult,519,276,18,0,813
29/04/2021,Sligo University Hospital,Adult,643,86,38,2,768
29/04/2021,South Infirmary Victoria University Hospital,Adult,405,58,0,0,463
29/04/2021,South Tipperary General Hospital,Adult,367,2,0,0,368
29/04/2021,St. Columcille's Hospital,Adult,200,93,26,34,353
29/04/2021,St. James's Hospital,Adult,998,358,286,36,"1,679"
29/04/2021,St. John's Hospital Limerick,Adult,497,262,242,99,"1,100"
29/04/2021,St. Luke's General Hospital Kilkenny,Adult,739,232,11,0,983
29/04/2021,St. Michael's Hospital,Adult,281,47,2,6,336
29/04/2021,St. Vincent's University Hospital,Adult,171,0,0,0,171
29/04/2021,Tallaght University Hospital,Adult,"1,338",943,560,336,"3,176"
29/04/2021,University Hospital Kerry,Adult,783,46,2,0,831
29/04/2021,University Hospital Limerick,Adult,443,237,263,449,"1,392"
29/04/2021,University Hospital Waterford,Adult,339,117,58,60,574
29/04/2021,Wexford General Hospital,Adult,586,344,117,18,"1,065"
29/04/2021,Children's Health Ireland,Child,262,107,91,55,514
29/04/2021,Cork University Hospital,Child,5,0,2,2,8
29/04/2021,Small Volume Hospitals,Child,20,8,2,3,33
29/04/2021,St. Luke's General Hospital Kilkenny,Child,3,3,2,0,8
13/05/2021,Bantry General Hospital,Adult,216,101,49,2,368
13/05/2021,Beaumont Hospital,Adult,993,5,2,0,"1,000"
13/05/2021,Cavan General Hospital,Adult,699,2,0,0,700
13/05/2021,Connolly Hospital Blanchardstown,Adult,791,2,0,0,793
13/05/2021,Cork University Hospital,Adult,482,130,20,3,634
13/05/2021,Ennis Hospital,Adult,496,324,149,77,"1,046"
13/05/2021,Galway University Hospitals,Adult,938,327,138,66,"1,468"
13/05/2021,Letterkenny University Hospital,Adult,"1,050",511,494,610,"2,665"
13/05/2021,Louth County Hospital,Adult,808,5,0,0,813
13/05/2021,Mallow General Hospital,Adult,164,14,0,0,178
13/05/2021,Mater Misericordiae University Hospital,Adult,"1,129",770,658,38,"2,596"
13/05/2021,Mayo University Hospital,Adult,316,206,219,232,973
13/05/2021,Mercy University Hospital,Adult,348,61,73,28,509
13/05/2021,Midland Regional Hospital Mullingar,Adult,410,40,0,0,450
13/05/2021,Midland Regional Hospital Portlaoise,Adult,289,126,51,78,543
13/05/2021,Midland Regional Hospital Tullamore,Adult,256,62,11,0,328
13/05/2021,Naas General Hospital,Adult,607,408,241,73,"1,328"
