ArchiveDate,Hospital_Name,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/01/2023,Bantry General Hospital,Adult,264,142,0,0,406
26/01/2023,Beaumont Hospital,Adult,"1,296",25,0,2,"1,323"
26/01/2023,Cavan General Hospital,Adult,631,0,0,0,631
26/01/2023,Connolly Hospital Blanchardstown,Adult,855,4,0,0,858
26/01/2023,Cork University Hospital,Adult,437,56,14,5,512
26/01/2023,Ennis Hospital,Adult,540,31,0,2,573
26/01/2023,Galway University Hospitals,Adult,"1,257",362,4,2,"1,625"
26/01/2023,Letterkenny University Hospital,Adult,598,4,2,4,607
26/01/2023,Louth County Hospital,Adult,671,4,0,0,675
26/01/2023,Mallow General Hospital,Adult,144,2,0,0,146
26/01/2023,Mater Misericordiae University Hospital,Adult,636,322,32,34,"1,024"
26/01/2023,Mayo University Hospital,Adult,484,64,21,10,578
26/01/2023,Mercy University Hospital,Adult,562,44,4,0,609
26/01/2023,Midland Regional Hospital Mullingar,Adult,685,128,2,26,840
26/01/2023,Midland Regional Hospital Portlaoise,Adult,265,96,35,23,419
26/01/2023,Midland Regional Hospital Tullamore,Adult,415,174,7,0,596
26/01/2023,Naas General Hospital,Adult,646,55,0,4,705
26/01/2023,Nenagh Hospital,Adult,177,2,0,0,179
26/01/2023,Our Lady of Lourdes Hospital Drogheda,Adult,225,4,0,0,229
26/01/2023,Our Lady's Hospital Navan,Adult,603,7,0,0,610
26/01/2023,Portiuncula University Hospital,Adult,348,21,0,2,371
26/01/2023,Roscommon University Hospital,Adult,199,16,0,0,215
26/01/2023,Sligo University Hospital,Adult,697,109,4,2,811
26/01/2023,South Infirmary Victoria University Hospital,Adult,395,20,0,0,415
26/01/2023,St. Columcille's Hospital,Adult,183,2,0,0,185
26/01/2023,St. James's Hospital,Adult,"1,344",338,29,41,"1,751"
26/01/2023,St. John's Hospital Limerick,Adult,627,4,0,0,630
26/01/2023,St. Luke's General Hospital Kilkenny,Adult,458,40,2,0,499
26/01/2023,St. Michael's Hospital,Adult,874,259,16,0,"1,148"
26/01/2023,St. Vincent's University Hospital,Adult,376,2,0,0,378
26/01/2023,Tallaght University Hospital,Adult,"1,547",676,78,4,"2,303"
26/01/2023,Tipperary University Hospital,Adult,389,2,0,0,391
26/01/2023,University Hospital Kerry,Adult,480,0,0,0,480
26/01/2023,University Hospital Limerick,Adult,533,18,0,0,551
26/01/2023,University Hospital Waterford,Adult,366,59,36,21,482
26/01/2023,Wexford General Hospital,Adult,301,47,17,4,368
26/01/2023,Children's Health Ireland,Child,339,190,50,14,593
