ArchiveDate,Hospital_Name,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/01/2026,Bantry General Hospital,Adult,390,11,0,0,400
29/01/2026,Beaumont Hospital,Adult,"1,712","1,616",216,39,"3,582"
29/01/2026,Cavan General Hospital,Adult,542,0,0,0,542
29/01/2026,Connolly Hospital Blanchardstown,Adult,"1,229",17,0,0,"1,245"
29/01/2026,Cork University Hospital,Adult,"1,167",268,2,0,"1,436"
29/01/2026,Ennis Hospital,Adult,841,646,33,0,"1,519"
29/01/2026,Galway University Hospitals,Adult,"1,893",768,87,21,"2,768"
29/01/2026,Letterkenny University Hospital,Adult,"1,449",289,37,29,"1,804"
29/01/2026,Louth County Hospital,Adult,"1,384",80,2,0,"1,465"
29/01/2026,Mallow General Hospital,Adult,266,47,2,0,314
29/01/2026,Mater Misericordiae University Hospital,Adult,"1,402",421,24,18,"1,865"
29/01/2026,Mayo University Hospital,Adult,528,62,12,14,615
29/01/2026,Mercy University Hospital,Adult,764,161,3,2,930
29/01/2026,Midland Regional Hospital Mullingar,Adult,829,11,2,0,842
29/01/2026,Midland Regional Hospital Portlaoise,Adult,386,91,32,44,553
29/01/2026,Midland Regional Hospital Tullamore,Adult,958,218,107,29,"1,312"
29/01/2026,Naas General Hospital,Adult,"1,173",44,0,0,"1,216"
29/01/2026,Nenagh Hospital,Adult,387,39,0,0,426
29/01/2026,Our Lady's Hospital Navan,Adult,499,0,0,2,500
29/01/2026,Portiuncula University Hospital,Adult,204,0,0,0,204
29/01/2026,Roscommon University Hospital,Adult,321,7,0,0,327
29/01/2026,Sligo University Hospital,Adult,876,65,11,2,954
29/01/2026,Small Volume Hospitals,Adult,2,0,0,0,2
29/01/2026,South Infirmary Victoria University Hospital,Adult,326,13,0,0,339
29/01/2026,St. Columcille's Hospital,Adult,428,199,9,0,635
29/01/2026,St. James's Hospital,Adult,727,240,17,7,991
29/01/2026,St. John's Hospital Limerick,Adult,407,204,0,0,611
29/01/2026,St. Luke's General Hospital Kilkenny,Adult,611,97,72,16,795
29/01/2026,St. Michael's Hospital,Adult,280,18,8,2,308
29/01/2026,St. Vincent's University Hospital,Adult,457,0,0,0,457
29/01/2026,Tallaght University Hospital,Adult,"1,503",310,0,0,"1,813"
29/01/2026,Tipperary University Hospital,Adult,742,81,10,0,832
29/01/2026,University Hospital Kerry,Adult,854,246,0,0,"1,100"
29/01/2026,University Hospital Limerick,Adult,778,398,31,0,"1,208"
29/01/2026,University Hospital Waterford,Adult,717,54,5,3,779
29/01/2026,Wexford General Hospital,Adult,838,211,18,0,"1,068"
29/01/2026,Children's Health Ireland,Child,315,75,5,0,395
29/01/2026,Small Volume Hospitals,Child,18,8,1,1,30
26/02/2026,Bantry General Hospital,Adult,337,6,0,0,343
